safe,suggestive,questionable,explicit,semi-grimdark,grimdark,grotesque,total,timestamp,timestep
16, 1, 2, 8, 0, 0, 0, 31, 3609.08620715, 3601.18137121
20, 2, -1, 2, 0, 0, 0, 31, 7209.66957998, 3600.58337283
51, 4, 3, 14, 1, 1, 1, 65, 10810.9190919, 3601.24951196
39, 15, 12, 78, 0, 0, 0, 140, 14411.6473641, 3600.72827224
11, 3, 1, 1, 0, 0, 4, 21, 18012.475986, 3600.8286219
16, 0, 0, 2, 0, 2, 0, 21, 21613.7340331, 3601.25804711
17, 2, 0, 10, 0, 0, 1, 0, 25214.3162441, 3600.58221103
16, 2, 3, 6, 0, 0, 1, 56, 28815.3671751, 3601.050931
8, 3, -1, 3, 0, 0, 0, 13, 32416.5825732, 3601.21539808
18, 0, 1, 3, 0, 0, 0, 22, 36018.0427341, 3601.46016095
17, 1, 1, 1, 0, 0, 0, 20, 40295.0763891, 4277.03365497
38, 4, 1, 4, 0, 0, 1, 48, 43896.2598171, 3601.18342802
9, 0, 2, 0, 0, 0, 5, 0, 46082.165683, 2185.90586593
18, 1, 1, 9, 1, 0, 0, 46, 49683.5764041, 3601.41072109
10, 3, 3, 3, 0, 1, 0, 19, 53284.8603981, 3601.28399395
12, 2, 5, 3, 0, 0, 0, 22, 56886.081284, 3601.22088595
22, 1, 1, 2, 0, 1, 0, 8, 60486.7610061, 3600.67972212
12, 1, 6, 4, 0, 0, 0, 49, 64087.929384, 3601.16837789
23, 4, 2, 6, 1, 1, 0, 22, 67690.5005, 3602.57111596
11, 4, 0, 5, 0, -1, 0, 28, 71292.6536121, 3602.15311214
7, 1, -1, 9, 1, -1, -1, 23, 74896.8036342, 3604.15002207
32, 3, 1, 8, 0, 1, 0, 48, 78499.7275031, 3602.92386886
21, 1, 1, 8, 0, 0, 0, 37, 82101.7810462, 3602.05354305
45, 3, 2, 10, 0, 1, 0, 43, 85705.751147, 3603.97010083
24, 1, 2, 14, 0, 0, 1, 62, 91010.9739881, 5305.22284106
26, 5, 6, 15, 2, 0, 0, 54, 94612.4856222, 3601.51163407
45, 3, 10, 8, 1, 0, 0, 41, 98214.095551, 3601.60992881
11, 2, 0, 4, 1, 0, 0, 17, 101815.879982, 3601.78443099
11, 1, 0, 6, 0, 0, 0, 13, 105417.040455, 3601.1604731
6, 2, 2, 5, 0, 0, 0, 13, 109018.01046, 3600.97000514
11, 4, 1, 4, 0, 0, 0, 27, 112619.248246, 3601.23778595
1, -1, 2, -1, 1, 0, 1, 4, 116220.630647, 3601.38240094
11, 4, 3, 1, 0, 0, 0, 18, 119821.333392, 3600.70274514
17, 0, 0, 1, 0, 0, 0, 21, 123422.557777, 3601.22438517
9, 1, 1, 1, 0, 0, 0, 12, 127023.777662, 3601.21988504
24, 4, 3, 5, 2, 1, 2, 37, 130625.007396, 3601.22973398
27, 0, 0, 1, 1, 0, 0, 29, 134226.41054, 3601.4031441
24, 3, 4, 3, 0, 0, 0, 37, 137827.668413, 3601.25787316
43, 3, 2, 2, 0, -2, -1, 45, 141428.911171, 3601.24275796
17, 0, 1, 3, 0, 0, 0, 20, 145031.397945, 3602.48677417
26, 7, 1, 14, 1, 0, 0, 39, 148632.190633, 3600.79268806
16, 0, 2, 9, 0, 0, 0, 47, 152233.359121, 3601.16848808
25, 2, 2, 12, 0, 2, 0, 29, 155834.049811, 3600.69069012
23, 3, 4, 4, 0, -2, 0, 41, 159435.280876, 3601.23106516
35, -2, 0, 14, 0, 0, 0, 46, 163036.635506, 3601.35463015
26, 5, 2, 15, 1, 0, 1, 40, 166637.394126, 3600.75861994
12, 1, 0, 6, 0, 0, 0, 27, 170238.143596, 3600.74947017
14, 3, 1, 5, 0, 0, 0, 29, 173839.493578, 3601.34998196
29, 6, 3, 16, 0, 1, 5, 47, 177440.752225, 3601.25864716
16, 4, 2, 8, 0, 0, 0, 24, 181041.560179, 3600.807954
36, 1, 2, 9, -1, 1, 0, 54, 184642.926017, 3601.36583805
23, 2, 2, 4, 0, 1, 0, 33, 188244.210185, 3601.28416805
34, 4, 7, 3, 0, 0, 0, 46, 191845.569477, 3601.35929208
11, 3, 3, 2, 0, 0, 0, 22, 195446.909601, 3601.34012397
15, 0, 4, 0, 1, 0, 1, 34, 199048.189613, 3601.2800121
14, 1, -1, 1, 1, 0, 0, 0, 202649.047144, 3600.85753117
14, 1, 0, 0, 0, 0, 0, 18, 206250.36884, 3601.32169598
24, 0, 4, 1, 0, 0, 0, 0, 209852.042793, 3601.67395304
21, 0, 6, 5, 0, 0, 0, 56, 213453.323792, 3601.28099898
34, -1, 1, 9, 0, 0, 0, 43, 217054.675374, 3601.35158203
25, 5, 1, 3, 0, 0, 0, 34, 220655.83031, 3601.15493611
16, 0, 3, 0, 1, 0, 0, 20, 224257.105462, 3601.27515207
21, 1, 0, 7, 1, 0, 0, 27, 227858.313083, 3601.20762117
16, 4, 1, 5, 1, 0, 0, 39, 231459.35456, 3601.04147714
35, 2, 4, 10, 0, 0, 0, 42, 235060.602691, 3601.24813117
14, 2, 3, 5, 1, 0, 0, 25, 238661.906553, 3601.30386203
27, 5, -2, 10, 0, 0, 0, 37, 242262.525196, 3600.61864308
23, 0, 2, 6, 0, 0, 0, 34, 245863.786755, 3601.26155908
15, 7, 0, 6, 0, 0, 0, 38, 249464.99917, 3601.21241506
35, 3, 0, 11, 1, 0, 0, 20, 253065.622863, 3600.62369305
28, 4, 2, 8, 2, 0, 0, 66, 256666.932844, 3601.30998116
22, 4, 2, 9, 0, 0, 0, 35, 260268.041586, 3601.10874216
12, 2, 2, 9, 0, 0, 0, 25, 263869.221038, 3601.1794521
13, 4, 0, 1, 0, 0, 0, 18, 267469.873701, 3600.6526631
31, 3, 3, 5, 0, 2, 2, 58, 271071.056842, 3601.18314109
26, 0, 2, 8, 0, 0, 0, 31, 274672.382548, 3601.32570609
18, 4, 2, 12, 1, 1, 0, 29, 278273.450655, 3601.06810698
12, 2, 1, 3, 0, 0, 0, 16, 281874.114608, 3600.66395305
17, 4, 9, 10, 7, -2, 2, 37, 285474.805777, 3600.69116907
16, 3, -2, 2, 1, 1, 0, 29, 289076.059449, 3601.25367196
17, 2, 2, 0, 0, 0, 0, 21, 292677.329258, 3601.26980897
14, 1, -3, 8, 0, 0, 0, 20, 296278.572726, 3601.24346801
17, 0, 0, 2, 0, 0, 0, 19, 299879.802747, 3601.23002101
24, 2, 1, 4, 0, 1, 0, 31, 303481.860977, 3602.05823017
17, 2, 4, 3, 0, 0, 0, 26, 307083.157099, 3601.29612201
6, 3, 0, 1, 0, 0, 0, 20, 310684.223152, 3601.06605316
23, 1, 5, 6, 0, 1, 0, 26, 314285.370319, 3601.14716713
15, 2, 1, 8, 0, 0, 0, 26, 317886.552749, 3601.18243016
27, 0, 2, 6, 0, 0, 0, 40, 321487.318896, 3600.76614706
